,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Best Time to visit,,Description
0,Northern,Delhi,Delhi,India Gate,War Memorial,1921,0.5,4.6,0,Yes,None,Historical,Yes,Evening,,"An iconic war memorial in New Delhi honoring Indian soldiers, renowned for its majestic architecture and lively evening atmosphere."
1,Northern,Delhi,Delhi,Humayun's Tomb,Tomb,1572,2,4.5,30,Yes,None,Historical,Yes,Afternoon,,A UNESCO World Heritage Site showcasing magnificent Mughal architecture that inspired the design of the Taj Mahal.
2,Northern,Delhi,Delhi,Akshardham Temple,Temple,2005,5,4.6,60,Yes,None,Religious,No,Afternoon,,"A grand Hindu temple complex celebrated for its intricate carvings, cultural exhibitions, and mesmerizing musical fountain show."
3,Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,2019,2,4.1,50,Yes,Monday,Environmental,Yes,Evening,,A unique eco-park featuring replicas of world-famous monuments crafted entirely from recycled industrial and household waste.
4,Northern,Delhi,Delhi,Jantar Mantar,Observatory,1724,2,4.2,15,Yes,None,Scientific,Yes,Morning,,An 18th-century astronomical observatory with massive instruments used to measure time and observe celestial movements.
5,Northern,Delhi,Delhi,Chandni Chowk,Market,1700,3,4.2,0,Yes,Sunday,Market,Yes,Afternoon,,"One of Delhi's oldest markets, famous for its bustling streets, heritage buildings, and authentic street food."
6,Northern,Delhi,Delhi,Lotus Temple,Temple,1986,1,4.5,0,Yes,Monday,Religious,Yes,Evening,,A striking lotus-shaped Bah·?Ì House of Worship known for its serene ambiance and architectural brilliance.
7,Northern,Delhi,Delhi,Red Fort,Fort,1648,2,4.5,35,Yes,None,Historical,Yes,Afternoon,,A majestic Mughal fort and UNESCO World Heritage Site that symbolizes India's rich history and independence.
8,Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1400,1,4.2,0,Yes,None,Historical,Yes,Afternoon,,A historic stepwell in central Delhi admired for its ancient architecture and peaceful surroundings.
9,Northern,Delhi,Delhi,Sunder Nursery,Park,1600,2,4.6,0,Yes,None,Botanical,Yes,Afternoon,,"A beautifully restored heritage park blending Mughal monuments, landscaped gardens, and vibrant biodiversity."
10,Northern,Delhi,Delhi,Garden of Five Senses,Park,2003,2,4.1,35,Yes,None,Botanical,Yes,Morning,,"A themed garden offering artistic landscapes, sculptures, fountains, and sensory experiences amidst lush greenery."
11,Northern,Delhi,Delhi,Lodhi Garden,Park,1500,1,4.5,0,Yes,None,Botanical,Yes,All,,"A scenic urban park featuring historic tombs, jogging trails, and beautifully maintained gardens."
12,Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,1954,3,4.5,20,Yes,Monday,Artistic,Yes,All,,India's premier museum displaying an extensive collection of modern and contemporary Indian artworks.
13,Northern,Delhi,Delhi,National Zoological Park ,Zoo,1959,3,4.1,80,Yes,Friday,Environmental,Yes,All,,A popular zoo housing diverse wildlife species in spacious naturalistic enclosures near Purana Qila.
14,Northern,Delhi,Delhi,Qutub Minar,Monument,1192,1,4.5,35,Yes,None,Historical,Yes,Afternoon,,The world's tallest brick minaret and a UNESCO World Heritage Site representing early Indo-Islamic architecture.
15,Northern,Delhi,Delhi,National Science Centre,Science,1992,5,4.4,70,Yes,None,Scientific,Yes,All,,"An interactive science museum offering engaging exhibits, demonstrations, and educational experiences for all ages."
16,Western,Maharastra,Mumbai,Marine Drive,Promenade,Unknown,2,4.5,0,Yes,None,Scenic,Yes,Evening,,"Mumbai's iconic seaside promenade, famous for stunning sunsets and its glittering ""Queen's Necklace"" skyline."
17,Western,Maharastra,Mumbai,Gateway of India,Monument,1924,1,4.6,0,Yes,None,Historical,Yes,All,,"A historic waterfront monument built during British rule, serving as one of Mumbai's most recognizable landmarks."
18,Western,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1922,1,4.6,500,Yes,None,Historical,Yes,All,,"A renowned museum showcasing priceless collections of art, archaeology, and natural history from India and beyond."
19,Western,Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,1996,3,4.3,50,Yes,Monday,Wildlife,Yes,All,,"A vast urban national park offering wildlife, trekking trails, and the historic Kanheri Caves."
20,Western,Maharastra,Mumbai,Siddhivinayak Temple,Temple,1881,2,4.8,0,Yes,None,Religious,No,All,,"One of Mumbai's most revered temples dedicated to Lord Ganesha, attracting millions of devotees annually."
21,Western,Maharastra,Mumbai,Mahalaxmi Temple,Temple,1831,1,4.7,0,Yes,None,Religious,No,All,,"A famous temple dedicated to Goddess Lakshmi, offering spiritual significance and panoramic Arabian Sea views."
22,Western,Maharastra,Mumbai,Haji Ali Dargah,Religious Shrine,1431,2,4.4,0,Yes,None,Religious,No,All,,"An iconic mosque and dargah located on an islet, accessible via a picturesque causeway during low tide."
23,Western,Maharastra,Mumbai,Chowpatty Beach,Beach,Unknown,2,4.3,0,Yes,None,Recreational,Yes,Evening,,"A lively beach known for vibrant sunsets, local street food, and festive celebrations throughout the year."
24,Western,Maharastra,Mumbai,Essel World,Amusement Park,1986,5,4.3,1149,Yes,None,Recreational,Yes,All,,"A legendary amusement park featuring thrilling rides, family attractions, and entertaining experiences for all ages."
25,Western,Maharastra,Mumbai,Elephanta Caves,Monument,1987,4,4.3,550,Yes,None,Historical,Yes,All ,,UNESCO-listed rock-cut caves featuring magnificent sculptures dedicated to Lord Shiva on Elephanta Island.
26,Western,Maharastra,Lonavala,Imagicaa,Amusement Park,2013,5,1.4,1149,No,Monday,Recreational,Yes,All,,"A world-class theme park offering thrilling rides, live entertainment, water attractions, and luxury accommodations."
27,Southern,Karnataka,Bangalore,Bangalore Palace,Palace,1878,2,4.2,500,Yes,Monday,Historical,Yes,Morning,,"A magnificent royal palace inspired by Tudor architecture, showcasing elegant interiors and regal heritage."
28,Southern,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,1760,1.5,4.4,20,Yes,None,Nature,Yes,Evening,,"A historic botanical garden famous for exotic plant species, glasshouse exhibitions, and seasonal flower shows."
29,Southern,Karnataka,Bangalore,Cubbon Park,Park,1870,1,4.4,0,Yes,None,Nature,Yes,Morning,,"A sprawling green oasis in Bengaluru offering walking trails, heritage structures, and peaceful recreational spaces."
30,Southern,Karnataka,Bangalore,Vidhana Soudha,Government Building,1956,0.5,4.6,0,Yes,None,Architectural,No,Morning,,Karnataka's grand legislative building admired for its impressive Neo-Dravidian architecture and illuminated evenings.
31,Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,1997,1,4.6,0,Yes,None,Religious,Yes,Evening,,"A magnificent spiritual complex dedicated to Lord Krishna, blending traditional architecture with modern facilities."
32,Southern,Telangana,Hyderabad,Charminar,Landmark,1591,1,4.5,25,Yes,Friday,Historical,Yes,Morning,,"Hyderabad's iconic four-minaret monument, surrounded by vibrant bazaars and centuries of cultural heritage."
33,Southern,Telangana,Hyderabad,Golconda Fort,Fort,1600,2,4.4,30,Yes,None,Historical,Yes,Morning,,"A historic hilltop fortress renowned for its engineering marvels, acoustics, and panoramic city views."
34,Southern,Telangana,Hyderabad,Hussain Sagar Lake,Lake,1563,1,4.3,0,Yes,None,Scenic,Yes,Evening,,A picturesque artificial lake featuring the iconic Buddha statue and popular boating experiences.
35,Southern,Telangana,Hyderabad,Ramoji Film City,Film Studio,1996,4,4.4,1150,Yes,None,Entertainment,Yes,All,,"One of the world's largest film studio complexes offering movie sets, entertainment shows, and themed attractions."
36,Southern,Telangana,Hyderabad,Salar Jung Museum,Museum,1951,2,4.4,20,Yes,None,Historical,Yes,All,,"A world-famous museum housing an extraordinary collection of art, antiques, manuscripts, and rare artifacts."
37,Southern,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,1600,1,4.4,25,Yes,None,Historical,Yes,Morning,,"A stunning complex of royal mausoleums showcasing Persian, Indian, and Pathan architectural styles."
38,Southern,Telangana,Hyderabad,Birla Mandir,Temple,1976,1,4.7,0,Yes,None,Religious,No,All,,A magnificent white marble temple offering serene surroundings and panoramic views of Hyderabad.
