Ride_ID,Tourist_Place,City,State,Ride_Type,Vehicle_Category,Vehicle_Model,Seating_Capacity,Price,Currency,Booking_Type,Duration_Hours,Distance_Covered_km,Hotel_Pickup,Hotel_Drop,Pickup_Location_Type,Drop_Location_Type,Extra_Km_Charge,Extra_Hour_Charge,Fuel_Included,Driver_Included,Driver_Rating,Ride_Rating,Availability,Estimated_Arrival,Cancellation,Amenities,Driver_Languages,Verified,Charging_Port,Music_System,WiFi,Child_Seat
RB00001,India Gate,Delhi,Delhi,Auto,Premium,Bajaj RE Electric Auto,3,3430,INR,Full Day Rental,8,86.4,Yes,No,Airport,Tourist Place,18,300,Yes,Yes,3.7,3.6,Available in 10 mins,26 mins,50% refund if cancelled within 6 hours of pickup,"Bottled Water, Hand Sanitizer",Hindi,No,No,Yes,No,No
RB00002,India Gate,Delhi,Delhi,Tempo Traveller,Premium,Force Tempo Traveller 17-Seater (AC),17,12415,INR,Full Day Rental,10,53.7,No,Yes,Hotel,Hotel,28.2,290,No,Yes,4,3.6,Available in 20 mins,7 mins,50% refund if cancelled within 6 hours of pickup,"Umbrella, Bottled Water",English,No,No,Yes,No,No
RB00003,India Gate,Delhi,Delhi,Auto,Economy,Bajaj RE Compact Auto,3,545,INR,One Way,1.2,22.4,No,Yes,Airport,Hotel,21.7,190,Yes,Yes,3.5,3.6,Scheduled Only,14 mins,Non-refundable,Sanitized Vehicle,Regional Language,No,No,Yes,No,No
RB00004,Humayun's Tomb,Delhi,Delhi,Bike,Premium,Bajaj Dominar 400,2,1620,INR,Round Trip,6,18.2,Yes,Yes,Airport,Airport,15.2,95,Yes,No,5,4.4,Available Now,23 mins,Free cancellation up to 6 hours before pickup,"Bottled Water, First Aid Kit",N/A,Yes,No,No,No,No
RB00005,Humayun's Tomb,Delhi,Delhi,Cab,Economy,Hyundai Xcent,4,1080,INR,One Way,2.7,43.1,Yes,No,Airport,Hotel,14.4,125,No,Yes,4.1,3.6,Available Now,5 mins,50% refund if cancelled within 6 hours of pickup,"Bottled Water, First Aid Kit",English,No,Yes,No,No,No
RB00006,Humayun's Tomb,Delhi,Delhi,Tempo Traveller,Premium,Force Tempo Traveller 17-Seater (AC),17,14340,INR,Full Day Rental,12,92.3,Yes,Yes,Railway Station,Tourist Place,34.9,255,Yes,Yes,3.9,3.1,Available Now,20 mins,Free cancellation up to 6 hours before pickup,First Aid Kit,"Hindi, English, Regional Language",Yes,Yes,Yes,No,No
RB00007,Humayun's Tomb,Delhi,Delhi,Tempo Traveller,Economy,Force Tempo Traveller 12-Seater (Non-AC),12,5845,INR,Round Trip,2.9,31.1,No,Yes,Anywhere in City,Tourist Place,18.8,105,Yes,Yes,4.4,3.1,Available Now,3 mins,Non-refundable,"Umbrella, Bottled Water",Hindi,Yes,Yes,Yes,No,No
RB00008,Akshardham Temple,Delhi,Delhi,Auto,Economy,Bajaj RE Compact Auto,3,525,INR,One Way,2.7,21.6,Yes,Yes,Airport,Hotel,14.9,210,No,Yes,2.8,5,Available in 20 mins,27 mins,Non-refundable,"Bottled Water, First Aid Kit","Hindi, English",No,No,Yes,No,No
RB00009,Akshardham Temple,Delhi,Delhi,Bike,Economy,Bajaj Platina,2,845,INR,One Way,1.9,43.7,No,Yes,Hotel,Airport,9.4,130,Yes,No,3.9,3.5,Available Now,3 mins,Free cancellation up to 6 hours before pickup,"Bottled Water, Hand Sanitizer",N/A,Yes,No,No,No,No
RB00010,Akshardham Temple,Delhi,Delhi,Cab,Luxury,Toyota Camry,4,8790,INR,Full Day Rental,8,118.8,No,No,Hotel,Hotel,15.8,350,No,Yes,4.1,3.3,Available in 20 mins,30 mins,Free cancellation up to 1 hour before pickup,First Aid Kit,Regional Language,Yes,Yes,Yes,No,No
RB00011,Waste to Wonder Park,Delhi,Delhi,Bike,Economy,Hero Splendor Plus,2,795,INR,Round Trip,2.4,7.8,No,Yes,Railway Station,Airport,16.3,325,No,Yes,4.1,3.7,Available in 10 mins,22 mins,50% refund if cancelled within 6 hours of pickup,Sanitized Vehicle,"Hindi, English",Yes,No,No,No,No
RB00012,Waste to Wonder Park,Delhi,Delhi,Jeep,Economy,Mahindra Thar (Base),4,5540,INR,Full Day Rental,10,44,No,No,Hotel,Tourist Place,11.6,145,Yes,Yes,4,4.9,Available in 10 mins,9 mins,Free cancellation up to 24 hours before pickup,Sanitized Vehicle,"Hindi, English",No,Yes,Yes,No,No
RB00013,Waste to Wonder Park,Delhi,Delhi,Cab,Premium,Honda City,4,3195,INR,Round Trip,5.4,39.6,No,Yes,Airport,Hotel,19.2,190,Yes,Yes,4.7,4.3,Scheduled Only,23 mins,Free cancellation up to 6 hours before pickup,"Umbrella, Bottled Water",Hindi,Yes,Yes,No,Yes,No
RB00014,Waste to Wonder Park,Delhi,Delhi,Tempo Traveller,Economy,Force Tempo Traveller 12-Seater (Non-AC),12,6345,INR,Round Trip,4,28.5,No,Yes,Airport,Tourist Place,23.6,335,No,Yes,4.6,4.4,Available in 20 mins,18 mins,50% refund if cancelled within 6 hours of pickup,"Sanitized Vehicle, First Aid Kit",Regional Language,Yes,Yes,Yes,No,No
RB00015,Jantar Mantar,Delhi,Delhi,Auto,Premium,Bajaj RE Electric Auto,3,3525,INR,Full Day Rental,10,102.6,No,No,Anywhere in City,Tourist Place,15.5,140,Yes,Yes,3.9,4.3,Available in 20 mins,18 mins,Free cancellation up to 6 hours before pickup,"Umbrella, Bottled Water",Hindi,No,No,No,No,No
RB00016,Jantar Mantar,Delhi,Delhi,Cab,Premium,Honda City,4,1505,INR,One Way,3,4.9,Yes,No,Anywhere in City,Tourist Place,12.1,255,Yes,Yes,3.8,4.6,Available in 10 mins,7 mins,Free cancellation up to 6 hours before pickup,"Reading Light, Bottled Water",Hindi,No,Yes,No,Yes,Yes
RB00017,Jantar Mantar,Delhi,Delhi,Cab,Luxury,Skoda Superb,4,11335,INR,Full Day Rental,12,129.7,Yes,No,Anywhere in City,Tourist Place,20.8,305,Yes,Yes,3.3,3.5,Available Now,24 mins,50% refund if cancelled within 6 hours of pickup,First Aid Kit,Regional Language,No,Yes,No,Yes,Yes
RB00018,Chandni Chowk,Delhi,Delhi,Tempo Traveller,Economy,Force Tempo Traveller 12-Seater (Non-AC),12,5920,INR,Round Trip,3.7,25.8,Yes,No,Anywhere in City,Hotel,33.9,160,Yes,Yes,3.9,4.5,Available Now,27 mins,Free cancellation up to 6 hours before pickup,First Aid Kit,"Hindi, English",No,Yes,Yes,No,No
RB00019,Chandni Chowk,Delhi,Delhi,Jeep,Premium,Mahindra Scorpio-N,5,10380,INR,Full Day Rental,10,58.2,No,Yes,Hotel,Airport,15.3,315,Yes,Yes,4.2,3.7,Scheduled Only,10 mins,Non-refundable,"Bottled Water, First Aid Kit",Hindi,Yes,Yes,Yes,Yes,No
RB00020,Chandni Chowk,Delhi,Delhi,Bike,Premium,Royal Enfield Classic 350,2,900,INR,One Way,2.1,38.2,Yes,No,Railway Station,Tourist Place,10.9,245,No,Yes,4.1,4.2,Available in 20 mins,20 mins,Non-refundable,"Sanitized Vehicle, First Aid Kit",English,No,No,No,No,No
RB00021,Lotus Temple,Delhi,Delhi,Bike,Premium,KTM Duke 200,2,4825,INR,Full Day Rental,8,106,No,No,Hotel,Airport,19,85,Yes,No,4.2,4.4,Scheduled Only,7 mins,Free cancellation up to 6 hours before pickup,"Bottled Water, First Aid Kit",N/A,Yes,No,No,No,No
RB00022,Lotus Temple,Delhi,Delhi,Tempo Traveller,Economy,Force Tempo Traveller 12-Seater (Non-AC),12,5945,INR,Round Trip,5.3,38.8,No,No,Railway Station,Hotel,24.9,170,Yes,Yes,4.1,4.8,Available in 20 mins,19 mins,Free cancellation up to 1 hour before pickup,None,English,Yes,Yes,Yes,No,No
RB00023,Lotus Temple,Delhi,Delhi,Auto,Premium,Mahindra Treo Auto,3,1445,INR,Round Trip,2.4,36.3,No,No,Railway Station,Tourist Place,24.9,230,Yes,Yes,4.2,3.2,Available in 10 mins,12 mins,Free cancellation up to 1 hour before pickup,None,English,Yes,No,Yes,No,No
RB00024,Red Fort,Delhi,Delhi,Jeep,Premium,Mahindra Scorpio-N,5,3035,INR,One Way,1.3,18.2,Yes,No,Airport,Airport,22.8,215,No,Yes,4.4,3.7,Available Now,10 mins,Non-refundable,"Bottled Water, Hand Sanitizer",Hindi,Yes,Yes,Yes,No,Yes
RB00025,Red Fort,Delhi,Delhi,Bike,Luxury,Royal Enfield Himalayan 450,2,7355,INR,Full Day Rental,12,124.1,No,No,Anywhere in City,Tourist Place,22.6,345,Yes,No,4.7,3.4,Available in 10 mins,10 mins,Free cancellation up to 1 hour before pickup,Sanitized Vehicle,N/A,Yes,No,No,No,No
RB00026,Red Fort,Delhi,Delhi,SUV,Economy,Mahindra Bolero,7,5425,INR,Full Day Rental,10,105.3,No,Yes,Airport,Tourist Place,21.4,250,Yes,Yes,3.2,3.4,Available in 10 mins,10 mins,Free cancellation up to 24 hours before pickup,"Bottled Water, Hand Sanitizer",Hindi,No,Yes,Yes,No,No
RB00027,Red Fort,Delhi,Delhi,SUV,Economy,Mahindra Bolero,7,5775,INR,Full Day Rental,10,84.3,Yes,No,Railway Station,Airport,12.3,105,No,Yes,3.5,5,Available in 20 mins,20 mins,Free cancellation up to 1 hour before pickup,Sanitized Vehicle,"Hindi, English",No,Yes,Yes,No,Yes
RB00028,Agrasen ki Baoli,Delhi,Delhi,Jeep,Economy,Force Gurkha,4,3620,INR,Round Trip,5.4,31.1,No,Yes,Anywhere in City,Hotel,13.3,165,No,Yes,4.4,4.3,Available Now,16 mins,Non-refundable,Bottled Water,English,Yes,Yes,Yes,No,No
RB00029,Agrasen ki Baoli,Delhi,Delhi,SUV,Economy,Mahindra Bolero,7,2870,INR,Round Trip,3.9,40,Yes,No,Hotel,Airport,14.9,140,No,Yes,4.9,4.7,Scheduled Only,24 mins,50% refund if cancelled within 6 hours of pickup,None,Regional Language,Yes,Yes,Yes,No,No
RB00030,Agrasen ki Baoli,Delhi,Delhi,Auto,Economy,Bajaj RE Compact Auto,3,460,INR,One Way,2.5,14.6,Yes,No,Railway Station,Airport,17.9,260,No,Yes,4.4,4.1,Available Now,14 mins,Non-refundable,"Umbrella, Bottled Water",English,Yes,No,No,No,No
RB00031,Agrasen ki Baoli,Delhi,Delhi,SUV,Premium,Hyundai Creta,7,2785,INR,One Way,1.7,16.4,Yes,No,Hotel,Hotel,16.5,240,No,Yes,3.2,4.8,Available Now,25 mins,Free cancellation up to 24 hours before pickup,"Sanitized Vehicle, First Aid Kit",English,No,Yes,No,No,No
RB00032,Sunder Nursery,Delhi,Delhi,Tempo Traveller,Premium,Force Tempo Traveller 17-Seater (AC),17,10430,INR,Round Trip,5.5,29.3,Yes,No,Airport,Airport,16.8,345,No,Yes,3.9,4.4,Available Now,3 mins,50% refund if cancelled within 6 hours of pickup,Bottled Water,Regional Language,Yes,Yes,Yes,Yes,No
RB00033,Sunder Nursery,Delhi,Delhi,Bike,Economy,Hero Splendor Plus,2,5515,INR,Full Day Rental,12,135.8,Yes,No,Railway Station,Tourist Place,12.3,85,No,No,4,4.9,Available Now,11 mins,Non-refundable,"Bottled Water, First Aid Kit",N/A,Yes,No,No,No,No
RB00034,Sunder Nursery,Delhi,Delhi,Auto,Luxury,TVS King Deluxe Auto,3,730,INR,One Way,1.9,13,No,No,Hotel,Airport,22.7,290,No,Yes,3.8,4.8,Available in 20 mins,26 mins,Free cancellation up to 24 hours before pickup,"Umbrella, Bottled Water",English,No,No,Yes,No,No
RB00035,Garden of Five Senses,Delhi,Delhi,Cab,Premium,Hyundai Verna,4,2100,INR,Round Trip,3.5,4.4,No,Yes,Airport,Hotel,21.4,315,Yes,Yes,4.1,3.5,Scheduled Only,27 mins,50% refund if cancelled within 6 hours of pickup,"Umbrella, Bottled Water",Hindi,Yes,Yes,Yes,No,Yes
RB00036,Garden of Five Senses,Delhi,Delhi,Jeep,Premium,Mahindra Thar LX 4x4,5,5900,INR,Round Trip,3.8,25.5,No,Yes,Airport,Tourist Place,8.4,320,Yes,Yes,2.9,4.3,Scheduled Only,24 mins,50% refund if cancelled within 6 hours of pickup,"Sanitized Vehicle, First Aid Kit",Hindi,No,Yes,No,No,No
RB00037,Garden of Five Senses,Delhi,Delhi,Bike,Economy,TVS Sport,2,4800,INR,Full Day Rental,12,116.6,No,Yes,Anywhere in City,Airport,14.9,335,Yes,No,4.9,3.2,Available in 20 mins,19 mins,50% refund if cancelled within 6 hours of pickup,Bottled Water,N/A,Yes,No,No,No,No
RB00038,Garden of Five Senses,Delhi,Delhi,SUV,Luxury,Ford Endeavour,7,4850,INR,One Way,2.1,30.8,Yes,Yes,Airport,Hotel,22.1,230,Yes,Yes,2.9,3.3,Available Now,2 mins,50% refund if cancelled within 6 hours of pickup,Sanitized Vehicle,English,No,Yes,No,Yes,No
RB00039,Lodhi Garden,Delhi,Delhi,SUV,Premium,Toyota Innova Crysta,7,2160,INR,One Way,0.8,14.1,No,No,Hotel,Tourist Place,16.6,335,Yes,Yes,4,3.6,Available Now,3 mins,Non-refundable,"Sanitized Vehicle, First Aid Kit","Hindi, English",No,No,Yes,No,Yes
